-63.8014,-64.2182,381.455
-63.565,-64.099,381.621
-63.4818,-64.0088,381.617
-64.6144,-63.6997,381.619
-63.1733,-63.9676,381.68
-64.0553,-63.326,381.711
-64.1568,-64.5141,381.331
-63.4418,-64.1224,381.588
-63.8635,-64.438,381.411
-63.7494,-64.3469,381.492
-63.8405,-64.3881,381.456
-63.6843,-64.3019,381.495
-63.4527,-64.0094,381.633
-62.8099,-61.8884,382.347
-63.6933,-64.3796,381.489
-63.3546,-62.875,381.948
-63.5687,-64.1305,381.546
-63.4966,-64.0376,381.62
-63.7539,-64.3221,381.478
-63.6206,-64.3007,381.515
-63.9431,-64.362,381.419
-63.6103,-64.061,381.563
-63.5358,-63.8975,381.607
-63.9229,-64.2528,381.459
-63.4412,-63.9242,381.634
-63.9237,-64.5977,381.425
-64.1008,-64.3933,381.381
-63.8372,-63.3842,381.926
-63.8598,-64.5474,381.407
-64.061,-64.466,381.341
-63.9449,-64.3434,381.431
-63.9745,-64.1486,381.423
-63.7293,-64.1666,381.506
-63.5392,-63.9807,381.6
-63.664,-63.8745,381.562
-64.0508,-63.1938,381.777
-64.0681,-64.2896,381.419
-63.6664,-64.2011,381.531
-64.0238,-64.3774,381.408
-63.7883,-64.0719,381.484
-63.6743,-64.0111,381.525
-63.4475,-63.9369,381.655
-63.753,-64.1189,381.496
-63.9896,-64.367,381.37
-64.3627,-63.5385,381.673
-63.4899,-62.6676,381.977
-63.8514,-64.3094,381.452
-64.123,-63.4321,381.714
-63.489,-64.0402,381.605
-63.9693,-63.3758,381.781
-63.7151,-64.0144,381.53
-63.6014,-64.0958,381.528
-63.4677,-62.6589,381.924
-63.6818,-64.0318,381.524
-63.9195,-64.2635,381.443
-63.9169,-64.3326,381.405
-64.0146,-64.2377,381.376
-63.5565,-64.2062,381.574
-63.4452,-64.1433,381.562
-64.213,-63.8852,381.608
-63.3748,-64.007,381.644
-62.2544,-61.5635,382.519
-63.9419,-64.2569,381.409
-63.7922,-64.2182,381.473
-64.0341,-63.4415,381.755
-63.6177,-64.1031,381.532
-64.2374,-63.5182,381.698
-63.6965,-64.1734,381.523
-63.9634,-64.2839,381.426
-63.7045,-63.947,381.557
-63.8791,-64.2061,381.435
-64.3494,-63.6797,381.623
-64.1205,-64.3431,381.39
-63.3222,-63.9153,381.7
-64.0109,-63.5401,381.766
-63.6161,-64.1306,381.533
-62.3258,-61.5378,382.491
-64.1133,-64.6967,381.301
-62.5306,-61.4398,382.488
-63.7969,-64.3404,381.467
-63.8159,-63.0783,381.922
-63.7969,-64.3113,381.466
-63.969,-64.3271,381.436
-63.9116,-64.1026,381.463
-63.9095,-63.42,381.863
-63.6796,-63.8565,381.552
-63.5485,-63.3475,381.929
-63.7146,-64.1466,381.498
-63.3624,-63.9625,381.632
-64.0504,-63.3433,381.726
-63.8441,-64.2952,381.43
-64.0004,-64.4875,381.345
-64.2179,-63.322,381.716
-64.1099,-64.4499,381.338
-63.711,-64.4296,381.488
-63.7104,-64.3823,381.452
-62.2705,-61.0173,382.546
-63.4865,-64.1793,381.575
-64.4258,-63.9699,381.582
-63.804,-64.2159,381.48
-63.925,-63.4282,381.806
-64.0812,-64.3893,381.368
-63.4812,-64.1456,381.59
-63.6145,-64.2136,381.533
-62.4069,-61.1956,382.522
